UserID1,UserID2,KeyWord,DateTime,Frequency
152186327.0,81861754.0,#dubai,12:00 AM - 23 Feb 2016,1
152186327.0,81861754.0,#abudhabi,12:00 AM - 23 Feb 2016,1
152186327.0,2856517828.0,#abudhabi,12:00 AM - 23 Feb 2016,1
152186327.0,431718684.0,#abudhabi,12:00 AM - 23 Feb 2016,1
152186327.0,220075111.0,#abudhabi,12:00 AM - 23 Feb 2016,1
152186327.0,233603393.0,#abudhabi,12:00 AM - 23 Feb 2016,1
152186327.0,1338389648.0,#abudhabi,12:00 AM - 23 Feb 2016,1
152186327.0,19019803.0,#abudhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,380885546.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,847597489.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,3924741861.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,3924741861.0,Centre,12:00 AM - 23 Feb 2016,1
3924741861.0,3924741861.0,Trade,12:00 AM - 23 Feb 2016,1
3924741861.0,3924741861.0,MALL,12:00 AM - 23 Feb 2016,1
3924741861.0,3924741861.0,WTC,12:00 AM - 23 Feb 2016,1
3924741861.0,3924741861.0,World,12:00 AM - 23 Feb 2016,1
3924741861.0,4809045142.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,48086249.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,705837259.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,15438696.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,523020082.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,3336921679.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,312398924.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,597363395.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,391557895.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,488978008.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,150618111.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,286892710.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,312398924.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,249777926.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,249777926.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,2453656771.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,21033096.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,300429074.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,391282188.0,World,12:00 AM - 23 Feb 2016,1
3924741861.0,391282188.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,391282188.0,Trade,12:00 AM - 23 Feb 2016,1
3924741861.0,4044833592.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,4044833592.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,81861754.0,#uae,12:00 AM - 23 Feb 2016,1
3924741861.0,248626141.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,220075111.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,277115591.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,1867738674.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,1531774699.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,454829072.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,1338389648.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,1338389648.0,#uae,12:00 AM - 23 Feb 2016,1
3924741861.0,1127752910.0,#uae,12:00 AM - 23 Feb 2016,1
3924741861.0,2453656771.0,Dhabi,12:00 AM - 23 Feb 2016,1
3924741861.0,19019803.0,#rain,12:00 AM - 23 Feb 2016,1
3924741861.0,19019803.0,#uae,12:00 AM - 23 Feb 2016,1
398345302.0,380885546.0,good,12:00 AM - 23 Feb 2016,1
398345302.0,3197562830.0,sleep,12:00 AM - 23 Feb 2016,1
398345302.0,220075111.0,#AbuDhabi,12:00 AM - 23 Feb 2016,1
398345302.0,118763512.0,morning,12:00 AM - 23 Feb 2016,1
398345302.0,312398924.0,#AbuDhabi,12:00 AM - 23 Feb 2016,1
380885546.0,847597489.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,3924741861.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,4809045142.0,United,12:00 AM - 23 Feb 2016,1
380885546.0,4809045142.0,Arab,12:00 AM - 23 Feb 2016,1
380885546.0,4809045142.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,48086249.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,705837259.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,15438696.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,523020082.0,United,12:00 AM - 23 Feb 2016,1
380885546.0,523020082.0,Arab,12:00 AM - 23 Feb 2016,1
380885546.0,523020082.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,3336921679.0,United,12:00 AM - 23 Feb 2016,1
380885546.0,3336921679.0,Arab,12:00 AM - 23 Feb 2016,1
380885546.0,3336921679.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,312398924.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,597363395.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,391557895.0,United,12:00 AM - 23 Feb 2016,1
380885546.0,391557895.0,Arab,12:00 AM - 23 Feb 2016,1
380885546.0,391557895.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,488978008.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,150618111.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,286892710.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,312398924.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,249777926.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,249777926.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,2453656771.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,21033096.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,300429074.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,391282188.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,4044833592.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,4044833592.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,248626141.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,220075111.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,277115591.0,United,12:00 AM - 23 Feb 2016,1
380885546.0,277115591.0,Arab,12:00 AM - 23 Feb 2016,1
380885546.0,277115591.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,1867738674.0,United,12:00 AM - 23 Feb 2016,1
380885546.0,1867738674.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,1531774699.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,454829072.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,1338389648.0,Dhabi,12:00 AM - 23 Feb 2016,1
380885546.0,2453656771.0,Dhabi,12:00 AM - 23 Feb 2016,1
