UserID1,UserID2,Time,Keyword,Key_Freq,source,source_freq
380885546.0,705837259.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,15438696.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,523020082.0,12:00 AM - 23 Feb 2016,United,1,instagram,1
380885546.0,523020082.0,12:00 AM - 23 Feb 2016,Arab,1,instagram,1
380885546.0,523020082.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,3336921679.0,12:00 AM - 23 Feb 2016,United,1,instagram,1
380885546.0,3336921679.0,12:00 AM - 23 Feb 2016,Arab,1,instagram,1
380885546.0,3336921679.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,312398924.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,597363395.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,391557895.0,12:00 AM - 23 Feb 2016,United,1,instagram,1
380885546.0,391557895.0,12:00 AM - 23 Feb 2016,Arab,1,instagram,1
380885546.0,391557895.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,488978008.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,150618111.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,286892710.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,312398924.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,249777926.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,249777926.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,2453656771.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,21033096.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,300429074.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,391282188.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,4044833592.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,4044833592.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,248626141.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,220075111.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,277115591.0,12:00 AM - 23 Feb 2016,United,1,instagram,1
380885546.0,277115591.0,12:00 AM - 23 Feb 2016,Arab,1,instagram,1
380885546.0,277115591.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,1867738674.0,12:00 AM - 23 Feb 2016,United,1,instagram,1
380885546.0,1867738674.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,1531774699.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,454829072.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,1338389648.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
380885546.0,2453656771.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
847597489.0,3924741861.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,4809045142.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,48086249.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,705837259.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,15438696.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,523020082.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,3336921679.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,312398924.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,597363395.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,391557895.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,488978008.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,150618111.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,286892710.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,312398924.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,249777926.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,249777926.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,2453656771.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,21033096.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,300429074.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,391282188.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,4044833592.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,4044833592.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,248626141.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,220075111.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,277115591.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,1867738674.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,1531774699.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,454829072.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,1338389648.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
847597489.0,2453656771.0,12:00 AM - 23 Feb 2016,Dhabi,1,0,0
3924741861.0,4809045142.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,48086249.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,705837259.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,15438696.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,523020082.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,3336921679.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,312398924.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,597363395.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,391557895.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,488978008.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,150618111.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,286892710.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,312398924.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,249777926.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,249777926.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,2453656771.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,21033096.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,300429074.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,391282188.0,12:00 AM - 23 Feb 2016,World,1,instagram,2
3924741861.0,391282188.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,391282188.0,12:00 AM - 23 Feb 2016,Trade,1,instagram,2
3924741861.0,4044833592.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,4044833592.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,248626141.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,220075111.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,277115591.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,1867738674.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,1531774699.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,454829072.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,1338389648.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
3924741861.0,2453656771.0,12:00 AM - 23 Feb 2016,Dhabi,2,instagram,2
202150622.0,54348099.0,12:00 AM - 23 Feb 2016,there,1,instagram,1
4809045142.0,48086249.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
4809045142.0,705837259.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
4809045142.0,15438696.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
4809045142.0,523020082.0,12:00 AM - 23 Feb 2016,United,1,instagram,1
4809045142.0,523020082.0,12:00 AM - 23 Feb 2016,Arab,1,instagram,1
4809045142.0,523020082.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
4809045142.0,523020082.0,12:00 AM - 23 Feb 2016,Emirates,1,instagram,1
4809045142.0,3336921679.0,12:00 AM - 23 Feb 2016,United,1,instagram,1
4809045142.0,3336921679.0,12:00 AM - 23 Feb 2016,Arab,1,instagram,1
4809045142.0,3336921679.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
4809045142.0,3336921679.0,12:00 AM - 23 Feb 2016,Emirates,1,instagram,1
4809045142.0,312398924.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
4809045142.0,597363395.0,12:00 AM - 23 Feb 2016,Dhabi,1,instagram,1
